page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,人口データの年,人口密度,別名,友好市区町村,合併市区町村,国,国内位置,地名の謂れ,地形,座標・経度,座標・緯度,恒例行事,成立年,所在地,旧称,温泉・鉱泉,特産品,産業,種類,観光地,読み,鉄道会社,面積,首長
31,パリ,455704,124531,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
55,台東区,188098,48200,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
266,シカゴ,239055,52618,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,
901,旭川市,506834,113629,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,弘前市,322961,71660,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,横須賀市,354033,92554,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,サンフランシスコ,373914,95011,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,バルセロナ,222119,41831,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,ブエノスアイレス,202404,46480,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,アスンシオン,86920,17502,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,モンテビデオ,136396,28884,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,ラパス,92849,23381,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2870,ブラジリア,116743,26103,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,プネー,81226,22745,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,白浜町,119587,25497,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,串本町,87729,16324,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,太地町,143878,41983,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3301,習志野市,160612,41364,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,ローマ,288596,56077,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,クスコ,100046,22207,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3575,津田沼,65583,24120,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,エディンバラ,118457,27409,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4059,高井戸,59708,14233,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4190,羽田空港 (大田区),66833,16113,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4308,ロッテルダム,67650,17861,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4442,アヌラーダプラ,68541,16149,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4662,サンクトペテルブルク,191516,51334,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5153,天理市,119698,28294,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6025,北京市,321892,62107,False,4,189,1,1,0,18,29,4,8,0,0,8,3,3,2,1,2,7,0,1,2,2,65,25,5,1,1
6052,鎌倉市,242354,61806,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6054,稲村ヶ崎,63324,15349,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6869,高森町 (長野県),89801,21123,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7171,平安京,64525,23910,False,0,22,0,0,0,2,0,0,1,0,1,9,0,0,0,3,2,0,0,0,0,0,0,4,0,0,0
7212,京都市,590735,139983,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,
7317,ロンドン,813751,175925,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7392,根室市,162954,34059,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7492,別海町,96604,22362,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7658,西東京市,241075,72791,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7661,あきる野市,172358,38786,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7677,藤沢市,360472,87866,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7737,白水村 (熊本県阿蘇郡),37986,8719,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7741,高森町 (熊本県),91489,18528,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7826,エルサレム,205453,51516,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7827,品川区,238602,50020,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7937,千代田区,232454,50190,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7966,アテナイ,75266,30914,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7996,アテネ,459827,113058,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8005,デルポイ,52231,14415,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8073,新宿区,451398,148084,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8208,千葉市,308942,70468,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,川崎市,319383,80580,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8251,江東区,292230,75497,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8579,スパルタ,70382,25103,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8587,名古屋市,791649,154739,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,
8601,ジャカルタ,156260,44297,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8645,テルアビブ,130536,25713,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,江戸,127203,46575,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8870,八鹿町,35609,8216,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8874,豊岡市,190747,38758,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8891,西区 (横浜市),108785,24753,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8892,西区 (大阪市),110184,27473,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8908,養父町,37721,9485,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8909,大屋町,39701,9061,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8910,関宮町,35075,7997,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8927,城崎町,37269,8901,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
