page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,オーナー,クラブカラー,スローガン,ホームスタジアム,マスコット,人数,代表,優勝大会,別名,創立年,創設関係者,参加大会,名前の謂れ,国,後継組織,成績,所在地,所属リーグ,所属組織,歌,永久欠番,監督・指導者,競技,解散年,読み,運営組織,過去の組織名,開催大会,関連組織
2957,日本代表,132137,26652,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,ジュビロ磐田,295587,61280,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4722,川崎フロンターレ,395107,125038,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4730,ベガルタ仙台,316672,85640,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4839,水戸ホーリーホック,286017,83663,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20037,フロンティア・マーシャルアーツ・レスリング,113157,34670,False,0,75,0,0,0,0,0,0,0,0,28,1,23,0,0,1,14,0,0,0,0,0,0,0,5,1,0,0,0,2,0
20038,SWS,109771,42927,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20581,レアル・マドリード,580428,120301,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23934,WJプロレス,47091,17328,False,0,49,0,0,1,0,0,0,2,0,9,1,30,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0
24051,大映ユニオンズ,108728,26766,False,1,73,2,0,0,3,0,0,0,0,1,4,1,0,1,1,2,18,1,4,0,0,0,2,1,2,1,2,25,0,2
27190,SSDパルマ・カルチョ1913,162451,28454,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27206,ユヴェントスFC,309338,56634,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28676,世界ボクシング協会,82975,22441,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28678,世界ボクシング評議会,104002,31639,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28797,東洋の魔女,58787,16805,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31139,マンチェスター・ユナイテッドFC,368877,58360,False,1,134,0,3,0,2,0,0,1,32,24,3,0,38,0,3,0,10,2,3,0,0,0,4,1,0,2,0,6,0,0
31717,FCバルセロナ,451230,86200,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41252,オリックス・バファローズ (ファーム),82742,21920,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41908,日本野球連盟 (プロ野球),96105,20696,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42508,兵庫県競馬組合,92380,35744,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42931,WWE,310476,104846,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46168,本田技研工業フットボールクラブ,170508,45937,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47351,全日本大学野球連盟,69591,22994,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49775,ガイナーレ鳥取,235541,59360,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49777,栃木SC,222204,52400,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53083,ジヤトコサッカー部,44307,11355,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53085,YKK APサッカー部,66462,12737,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53087,アローズ北陸,88184,17528,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55176,佐川急便東京SC,60389,15908,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55180,佐川急便大阪SC,43823,11971,False,1,39,1,1,0,5,0,0,0,1,2,2,0,1,0,0,1,4,2,9,0,0,0,1,1,1,1,1,5,0,0
55181,SP京都FC,88590,20407,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56169,試衛館,29124,8355,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58224,日本野球連盟,49310,16871,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
