page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,付近の山地名,公園,初登頂年,初登頂者名・登山隊名,別名,動物,名前の謂れ,含有岩石,国,国内位置,大陸地域,大陸地域内位置,属する山系,幅,座標・経度,座標・緯度,延長,所在地,最高峰,植物,構成する山,標高,河川,湖沼,産業,登山隊,登頂者,登頂者の国籍,神霊,種類,観光地,読み
4183,ポッパ山,29311,7798,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,富士山,337550,96978,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,利尻山,136872,21645,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,羅臼岳,131102,20271,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,斜里岳,104752,15944,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,雌阿寒岳,130357,23440,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,大雪山,102318,20951,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,トムラウシ山,144987,24722,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7022,十勝岳,150436,30161,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023,幌尻岳,114373,20010,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,岩木山,138130,34080,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026,八甲田山,133793,35219,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,八幡平,108546,23437,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,岩手山,119693,22789,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,阿蘇山,247833,50933,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9188,ヒンドゥークシュ山脈,40420,10217,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12234,カイラス山,36427,10186,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13193,203高地,52164,19196,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13348,ヒマラヤ山脈,144874,45083,False,1,283,0,0,0,0,19,3,1,0,88,0,4,0,0,1,6,6,2,14,7,4,48,4,54,4,6,0,0,0,2,6,3,1
15092,アンデス山脈,106672,43559,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16603,丹沢山地,109337,27572,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16617,大山 (鳥取県),105610,24682,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16619,立山,160653,40454,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18336,御嶽山,609066,148629,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18875,鈴鹿山脈,75689,16489,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19054,碓氷峠,162161,54803,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19812,鳥取砂丘,60204,20293,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19874,日本アルプス,55364,14075,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19995,六甲山,235642,67056,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21699,アルプス山脈,122180,44301,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21701,モンブラン,55288,18011,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21705,エベレスト,182336,63993,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21706,七大陸最高峰,47231,15773,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21708,キリマンジャロ,115550,46155,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21709,マッターホルン,50334,14653,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22144,玉山 (台湾),75556,14684,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24234,日本三名山,38733,10596,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25439,香貫山,39420,13102,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25576,ズデーテン山地,32284,8603,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25622,静浦山地,60877,14241,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25671,ウラル山脈,48362,14811,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25725,愛鷹山,57361,12668,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25998,白頭山,160697,41790,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26253,鷲頭山,24392,6695,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26925,万景峰,24048,6252,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27657,旭岳,124918,19591,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27923,ヴェスヴィオ,63141,17494,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29647,剱岳,110404,29281,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29654,羊蹄山,166688,26917,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29784,石狩岳,101487,16241,False,1,49,14,1,1,1,0,0,1,0,1,0,0,0,4,0,4,4,0,3,0,1,0,2,6,0,0,0,2,0,0,3,0,1
30487,比叡山,126093,26316,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32072,コーカサス山脈,31666,8162,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32704,灰ヶ峰,32957,9121,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34135,大和三山,34075,10033,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34346,三輪山,75796,18510,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34571,屋島,95876,29351,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34868,樽前山,125862,26358,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35830,妙見山 (能勢),77894,15693,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39271,北岳,213120,48558,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39272,穂高岳,143012,34226,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39273,槍ヶ岳,142386,31194,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39274,谷川岳,70674,17505,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39438,天皇海山群,44773,10963,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40560,タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ,34513,8700,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43811,尾瀬,118161,42436,False,0,166,66,2,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,1,0,7,0,1,22,31,0,0,0,0,0,2,24,1
45111,天城山,115919,24154,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46400,石狩山地,37744,8026,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48185,多摩丘陵,53762,13533,False,1,86,1,37,0,0,6,1,0,0,1,0,0,0,0,0,4,4,0,5,0,0,2,1,9,0,0,0,0,0,0,4,10,1
49927,飛騨山脈,96654,20215,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49929,木曽山脈,101373,24233,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49931,赤石山脈,100590,21655,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50129,石鎚山,91880,21388,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51096,愛別岳,81035,12760,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52180,千里丘陵,48849,13295,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53767,武甲山,57723,13710,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56999,男体山,109891,22855,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59117,高尾山,152415,42150,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60494,内灘砂丘,26484,7514,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61211,藻岩山,92065,19863,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64194,天覧山,41698,11460,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64391,金北山,47352,9869,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64854,エトナ火山,94626,20027,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65268,四国山地,55220,11984,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67042,陣馬山,47891,11081,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67059,ブロッケン山,34208,8326,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73211,八ヶ岳,121510,21901,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73227,塩尻峠,53931,11220,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73372,アウヤンテプイ,37196,9288,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73554,宮之浦岳,110887,17832,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73913,ロライマ山,41249,11825,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74209,アンナプルナ,57918,15385,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74218,シシャパンマ,48563,11312,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74221,K2,71798,19337,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74228,チョ・オユー,49039,12167,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74236,ガッシャーブルムI峰,47002,10662,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74241,ガッシャーブルムII峰,45458,10209,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74288,カンチェンジュンガ,52731,12640,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74557,デナリ,56169,16269,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74845,野麦峠,42243,10392,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75320,伊吹山,365434,84485,False,1,450,77,7,0,0,4,27,0,8,1,1,0,0,7,0,5,5,0,15,0,204,0,2,6,9,1,0,4,0,14,2,42,9
75588,アイガー,60460,16943,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75672,高御位山,41942,8829,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76973,グランド・ジョラス,39457,10458,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77272,アコンカグア,42326,10583,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77485,赤城山,140044,33997,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77588,若草山,74732,20643,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77976,ケニア山,40209,14011,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78182,越後山脈,43228,9157,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
