page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,コーポレートスローガン,主要株主,事業内容,代表者,別名,創業国,創業地,創業時の事業,創業者,取扱商品,商品名,売上高データの年,売上高（単体）,売上高（連結）,売上高（連結）データの年,子会社・合弁会社,従業員数（単体）,従業員数（単体）データの年,従業員数（連結）,従業員数（連結）データの年,本拠地,本拠地国,業界,業界内地位・規模,正式名称,社名使用開始年,種類,設立年,読み,買収・合併した会社,資本金,資本金データの年,起源,過去の社名
1069,京浜急行電鉄,264915,83432,False,1,82,4,6,6,1,9,0,0,1,0,2,23,1,1,1,0,1,1,1,1,1,2,1,1,1,7,1,1,1,1,0,1,1,0,4
1149,任天堂,383793,88802,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,NeXT,154812,47226,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,スクウェア (ゲーム会社),128565,38209,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,コナミホールディングス,125754,37738,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,富士通,218100,49174,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,レッドハット,63352,14508,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,エニックス,92265,26340,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,バンダイナムコエンターテインメント,161028,43182,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,シャープ,343613,101069,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,ネットスケープコミュニケーションズ,53306,13050,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,本の雑誌社,45182,16131,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,IBM,268175,68201,False,2,284,0,0,74,1,1,0,1,2,1,86,49,1,1,0,0,0,1,1,0,0,2,2,1,0,5,2,1,4,1,34,0,0,0,13
1687,インテル,298997,71010,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,マクドナルド,311456,84902,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,イタチョコシステム,41442,17063,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,バンダイ,172199,52596,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,ハドソン,166626,49448,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,ソニー,351322,72951,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,ズーム (ゲーム会社),37199,9206,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ゲームアーツ,65950,13456,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
